Name,Rate of Return,Standard Deviation,Percent of Portfolio
CASH,0,0,1%
IVV,12,15.19,10%
POLIX,13.49,17.19,8%
DIVO,12.58,14.66,5%
BVALX,13.75,18.29,7%
AKRE,13.21,15.97,10%
CIMDX,11.49,18.04,6%
AFOZX,10.06,21.31,4%
JCCIX,8.22,19.05,4%
AOFIX,6.36,21.25,3%
LBFIX,13.95,19.82,3%
WCMIX,8.44,16.26,15%
VIISX,6.49,18.08,4%
MSAQX,4,98,24.3,4%
ANNPX,9.21,12.97,6%
VCRIX,7.05,13.7,5%
JERIX,5.62,15.3,5%
